#Energy (MeV), Sig (barn)
3066E-03,1440E-03
3104E-03,1580E-03
3127E-03,1700E-03
3150E-03,1850E-03
3167E-03,1950E-03
3196E-03,2150E-03
3220E-03,2350E-03
3245E-03,2520E-03
3245E-03,2510E-03
3256E-03,2640E-03
3266E-03,2690E-03
3267E-03,2710E-03
3274E-03,2710E-03
3274E-03,2740E-03
3278E-03,2760E-03
3282E-03,2800E-03
3286E-03,2810E-03
3296E-03,2880E-03
3301E-03,2930E-03
3306E-03,2910E-03
3312E-03,2960E-03
3349E-03,3030E-03
3372E-03,3010E-03
3396E-03,3000E-03
3415E-03,3040E-03
3420E-03,3030E-03
3421E-03,2990E-03
3433E-03,3040E-03
3442E-03,3130E-03
3443E-03,3170E-03
3451E-03,3250E-03
3463E-03,3060E-03
3464E-03,3050E-03
3473E-03,3010E-03
3484E-03,2980E-03
3486E-03,2960E-03
3488E-03,2940E-03
3495E-03,2990E-03
3503E-03,2960E-03
3505E-03,2960E-03
3513E-03,2930E-03
3513E-03,2950E-03
3521E-03,2910E-03
3521E-03,2980E-03
3542E-03,2960E-03
3563E-03,2980E-03
3585E-03,2960E-03
3608E-03,3000E-03
3630E-03,2990E-03
3647E-03,3010E-03
3654E-03,2970E-03
3656E-03,3030E-03
3664E-03,3000E-03
3674E-03,3000E-03
3675E-03,2930E-03
3684E-03,2980E-03
3696E-03,2960E-03
3702E-03,2810E-03
3705E-03,2980E-03
3715E-03,2950E-03
3724E-03,2910E-03
3734E-03,2960E-03
3745E-03,3000E-03
3749E-03,3000E-03
3757E-03,3200E-03
3767E-03,3570E-03
3773E-03,3810E-03
3777E-03,4160E-03
3786E-03,4430E-03
3797E-03,4010E-03
3799E-03,3590E-03
3807E-03,3080E-03
3816E-03,2650E-03
3823E-03,2540E-03
3825E-03,2560E-03
3847E-03,2460E-03
3874E-03,2390E-03
3898E-03,2290E-03
3925E-03,2220E-03
3950E-03,2140E-03
3972E-03,2100E-03
3995E-03,2080E-03
4020E-03,1920E-03
4047E-03,1520E-03
4067E-03,1310E-03
4090E-03,1110E-03
4117E-03,1040E-03
4141E-03,1070E-03
4166E-03,1310E-03
4188E-03,1880E-03
4212E-03,1930E-03
4237E-03,1760E-03
4263E-03,1420E-03
4288E-03,1320E-03
4311E-03,1770E-03
4337E-03,2750E-03
4361E-03,2800E-03
4383E-03,2270E-03
4409E-03,2150E-03
4435E-03,1870E-03
4458E-03,1700E-03
4482E-03,1210E-03
4498E-03,1240E-03
4507E-03,1240E-03
4513E-03,1270E-03
4521E-03,1280E-03
4531E-03,1240E-03
4531E-03,1320E-03
4540E-03,1470E-03
4549E-03,1650E-03
4557E-03,1650E-03
4558E-03,1600E-03
4569E-03,1330E-03
4583E-03,1240E-03
4585E-03,1220E-03
4592E-03,1230E-03
4602E-03,1310E-03
4609E-03,1460E-03
4613E-03,1340E-03
4622E-03,1280E-03
4633E-03,1260E-03
4634E-03,1120E-03
4644E-03,1260E-03
4655E-03,1310E-03
4658E-03,1380E-03
4665E-03,1210E-03
4682E-03,1060E-03
4705E-03,990E-03
4730E-03,940E-03
6.369,867.3E-03
7.512,815.5E-03
7.933,748.5E-03
9.011,731.4E-03
10.131,864.6E-03
10.131,860.4E-03
10.159,812.2E-03
10.159,803  E-03
10.163,828.3E-03
10.163,822.5E-03
11.354,979.7E-03
12.486,891.5E-03
13.61,962.2E-03
14.888,1070.5E-03